StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering
1001,17,1,0,2,19.8337228078547,7,1,2,0,0,1,0
1002,18,0,0,1,15.4087560558467,0,0,1,0,0,0,0
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0
1004,17,1,0,3,10.0288294739582,14,0,3,1,0,0,0
1005,17,1,0,2,4.67249527297133,17,1,3,0,0,0,0
1006,18,0,0,1,8.19121854525018,0,0,1,1,0,0,0
1007,15,0,1,1,15.6016804746992,10,0,3,0,1,0,0
1008,15,1,1,4,15.424496305808,22,1,1,1,0,0,0
1009,17,0,0,0,4.5620075580477,1,0,2,0,1,0,1
1010,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0
1011,17,0,0,1,11.8513636552965,11,0,1,0,0,0,0
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1
1013,17,0,1,1,10.0387116156172,21,0,3,1,0,0,0
1014,17,0,1,2,12.1014250687548,21,0,4,0,1,0,0
1015,18,1,0,1,11.1978106369157,9,1,2,0,0,0,0
1016,15,0,0,2,9.72810071072356,17,1,0,0,1,0,0
1017,18,0,3,1,10.098656081788,14,0,2,1,1,0,0
1018,18,1,0,0,3.52823820855772,16,1,2,0,0,0,0
1019,18,0,1,3,16.2546580860935,29,0,2,1,0,0,1
1020,17,0,0,1,10.8352063988203,9,0,2,0,0,1,0
1021,16,1,0,3,2.62159723409406,2,0,3,0,0,0,1
1022,15,0,0,2,15.3231420316555,25,0,1,1,0,0,0
1023,16,1,1,0,18.648879567547,29,1,1,0,0,0,0
1024,18,1,3,4,18.9461379847392,20,0,2,1,0,0,0
1025,18,1,0,1,7.38035464822345,15,0,2,0,0,0,0
1026,16,1,0,3,2.71033747121508,5,0,4,0,0,1,0
1027,16,0,0,1,10.3679925326613,2,0,2,0,1,0,0
1028,16,1,0,3,2.25218458698441,8,0,3,0,0,1,0
1029,18,0,0,0,18.6797483702523,10,0,3,1,0,0,0
1030,18,0,0,2,3.67159254710292,20,0,3,1,0,0,0
1031,15,0,2,2,5.05531719902328,12,1,0,0,1,0,0
1032,15,0,0,3,8.1327305376994,17,0,4,0,0,0,1
1033,18,0,0,3,7.66328937118251,25,0,1,0,1,0,0
1034,16,0,3,3,15.8932578479577,21,0,0,1,1,0,0
1035,16,0,0,3,9.12633641101924,27,1,2,1,1,0,0
1036,15,0,3,1,3.41536520006673,23,0,1,0,0,0,0
1037,18,0,0,1,5.34419790972148,26,1,1,0,0,0,0
1038,15,0,2,1,10.1822677037504,21,1,1,0,1,0,0
1039,15,1,1,1,2.94907834852269,3,1,1,1,1,0,0
1040,17,1,2,1,12.2331135129202,21,1,3,1,1,0,0
1041,17,1,3,2,11.3149461310229,23,1,1,0,0,0,0
1042,17,0,0,1,14.2940463276451,7,0,2,0,0,0,0
1043,16,1,3,2,18.7540923075873,12,1,4,0,0,0,0
1044,18,1,0,1,18.2450912220231,9,0,2,0,1,0,0
1045,18,1,0,1,18.9215123613766,1,1,3,1,1,0,0
